Feature,Importance
Glucose,0.268414649750337
BMI,0.17028946864307215
Age,0.12856454850007065
DiabetesPedigreeFunction,0.11319149856247032
Insulin,0.10319377284534348
BloodPressure,0.07769226781135324
SkinThickness,0.07030494111153561
Pregnancies,0.06834885277581758
